title,production_date,runtime_minutes,director,average_rating,num_votes,approval_index,prod_budget,domestic_gross,worldwide_gross,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,news,romance,sci-fi,sport,thriller,war,western
Avatar: The Way of Water,1670544000,192.0,664,7.8,277543.0,7.061100943995044,460000000,667830256,2265935552,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,1305849600,137.0,1445,6.6,533763.0,6.272064273410888,379000000,241071802,1045713802,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,1429660800,141.0,899,7.3,870573.0,7.21401334314958,365000000,459005868,1395316979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Justice League,1510531200,120.0,1829,6.1,456977.0,5.7172124919319725,300000000,229024295,655945209,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectre,1444089600,148.0,1531,6.8,445461.0,6.375644351199071,300000000,200074175,879077344,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Solo: A Star Wars Story,1527033600,135.0,1497,6.9,352604.0,6.352667900355968,275000000,213767512,393151347,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
John Carter,1331078400,132.0,74,6.6,275965.0,5.951727572261911,263700000,73058679,282778100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Batman v Superman: Dawn of Justice,1458691200,151.0,1829,6.4,704314.0,6.208569086473743,263000000,330360194,872395091,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Lion King,1562803200,118.0,851,6.8,248695.0,6.0840220443103545,260000000,543638043,1647733638,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 3,1178236800,139.0,1534,6.3,597302.0,6.033111095767313,258000000,336530303,894860230,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Thor: Love and Thunder,1656633600,118.0,1665,6.3,340924.0,5.773184359213031,250000000,343256830,760928081,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince,1247616000,153.0,378,7.6,552559.0,7.261703060250369,250000000,302089278,929411069,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug,1386806400,161.0,1348,7.8,670151.0,7.566996841361596,250000000,258241522,959358436,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies,1418169600,144.0,1348,7.4,539316.0,7.05392872670275,250000000,255119788,940323039,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fate of the Furious,1491523200,136.0,483,6.6,235554.0,5.874841340002054,250000000,225764765,1236703796,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
No Time to Die,1632873600,163.0,214,7.3,407964.0,6.806907572810991,250000000,160891007,759959662,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Avatar,1261008000,162.0,664,7.9,1316701.0,8.05826073536452,237000000,785221649,2923706026,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Superman Returns,1151452800,154.0,201,6.1,285379.0,5.50590693615459,232000000,200120000,391081192,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Dark Knight Rises,1342656000,164.0,267,8.4,1715219.0,8.740035233306626,230000000,448139099,1082228107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum of Solace,1226620800,106.0,1050,6.6,453199.0,6.192610824190399,230000000,169368427,591692078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Avengers,1335312000,143.0,899,8.0,1398299.0,8.197323632535053,225000000,623357910,1515100211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Man of Steel,1371168000,143.0,1829,7.1,776933.0,6.953311491757371,225000000,291045518,667999518,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Chronicles of Narnia: Prince Caspian,1210896000,150.0,62,6.5,214204.0,5.738393132395458,225000000,141621490,417341288,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lone Ranger,1372723200,150.0,578,6.4,237051.0,5.695804116260621,225000000,89302115,260002115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Amazing Spider-Man,1340755200,136.0,1055,6.9,662352.0,6.672728072135562,220000000,262030663,757890267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Battleship,1334102400,131.0,1334,5.8,250264.0,5.172610109412092,220000000,65233400,313477717,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Transformers: The Last Knight,1497916800,154.0,1142,5.2,154974.0,4.440515098474721,217000000,130168683,602893340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
